OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude,Location,Region,Coordinates
153,Sumpter Smith Air National Guard Base,,act,xlsx,,33.56388888888888,-86.75222222222222,Birmingham,Alabama,33°33′50″N 086°45′08″W
154,Toledo Air National Guard Base,,act,xlsx,,41.586666666666666,-6.3966666666666665,Toledo,Ohio,41°35′12.5″N 83°48′28.2″W
155,Truax Field Air National Guard Base,,act,xlsx,,43.13972222222222,-89.33749999999999,Madison,Wisconsin,43°08′23″N 089°20′15″W
156,Tulsa Air National Guard Base,,act,xlsx,,36.19833333333333,-95.88805555555557,Tulsa,Oklahoma,36°11′54″N 095°53′17″W
157,Volk Field Air National Guard Base,,act,xlsx,,43.936388888888885,-90.25972222222222,New Lisbon,Wisconsin,43°56′11″N 090°15′35″W
158,Volunteer Air National Guard Station,,act,xlsx,,35.07333333333334,-92.41916666666667,Chattanooga,Tennessee,35°4′24.91″N 85°9′48.6″W
159,Warfield Air National Guard Base,,act,xlsx,,39.32555555555556,-39.27333333333333,Middle River,Maryland,39°19′32.38″N 76°24′49.55″W
160,Westover Air Reserve Base,,act,xlsx,,42.193888888888885,-72.53472222222221,Chicopee,Massachusetts,42°11′38″N 072°32′05″W
161,Will Rogers Air National Guard Base,,act,xlsx,,35.393055555555556,-97.60083333333333,Oklahoma City,Oklahoma,35°23′35″N 097°36′03″W
162,Wyoming Air National Guard Base,,act,xlsx,,41.16138888888889,-104.81944444444444,Cheyenne,Wyoming,41°09′41″N 104°49′10″W
163,Youngstown Air Reserve Station,,act,xlsx,,41.260555555555555,-65.34444444444443,Youngstown,Ohio,41°15′38.64″N 80°40′44.74″W
164,Zanesville Air National Guard Base,,act,xlsx,,39.94638888888888,-7.3647222222222215,Zanesville,Ohio,39°56′47.6″N 81°53′58.1″W
165,Guantanamo Bay Naval Base,,act,xlsx,,19.9,-75.15,Guantanamo Bay,Cuba,19°54′0″N 75°9′0″W
166,Hato International Airport,,act,xlsx,,12.18888888888889,-68.95972222222223,Willemstad,Curaçao,12°11′20″N 068°57′35″W
167,Muñiz Air National Guard Base,,act,xlsx,,18.439444444444444,-66.00194444444445,Carolina,Puerto Rico,18°26′22″N 066°00′07″W
168,Punta Borinquen Radar Station,,act,xlsx,,18.485,-67.14888888888889,Aguadilla,Puerto Rico,18°29′6″N 67°8′56″W
169,Punta Salinas Air National Guard Station,,act,xlsx,,18.375,-66.26166666666667,Toa Alta,Puerto Rico,18°22′30″N 066°15′42″W
170,Queen Beatrix International Airport,,act,xlsx,,12.501388888888888,-70.01527777777778,Oranjestad,Aruba,12°30′05″N 70°00′55″W
171,Soto Cano Air Base,,act,xlsx,,14.3825,-87.6211111111111,Comayagua,Honduras,14°22′57″N 087°37′16″W
172,St Croix Air National Guard Station,,act,xlsx,,17.706666666666667,-3.0799999999999996,Frederiksted Southeast,United States Virgin Islands,17°42′24.2″N 64°48′01.9″W
173,Ämari Air Base,,act,xlsx,,59.26222222222222,24.21861111111111,Ämari ,Estonia,59°15′44″N 024°13′07″E
174,Aviano Air Base,,act,xlsx,,46.03138888888889,12.596944444444444,Aviano,Italy,46°01′53″N 012°35′49″E
175,Büchel Air Base,,act,xlsx,,50.17638888888889,7.057777777777778,Alflen,Germany,50°10′35″N 007°03′28″E
176,Camp Darby,,act,xlsx,,43.63333333333333,10.316666666666666,Pisa,Italy,43°38′0″N 10°19′0″E
177,Camp Lemonnier,,act,xlsx,,11.543611111111112,43.14861111111111,Ambouli,Djibouti,11°32′37″N 43°8′55″E
178,Camp Simba,,act,xlsx,,-2.1655555555555557,8.681388888888888,Jipe,Kenya,2°09′56.8″S 40°53′40.1″E
179,Câmpia Turzii (71st Air Base),,act,xlsx,,46.50333333333333,23.885277777777777,Călărași-Gară,Romania,46°30′12″N 023°53′07″E
180,Chabelley Airfield,,act,xlsx,,11.516666666666667,43.06666666666667,Chabelley,Djibouti,11°31′N 43°04′E
181,Chièvres Air Base,,act,xlsx,,50.58583333333333,58.06388888888888,Brugelette,Belgium,50°35′9.58″N 003°50′37.47″E
182,Einsiedlerhof Air Station,,act,xlsx,,49.42833333333333,7.1175,Marpingen,Germany,49°25′42.7″N 7°3′15.5″E
183,Ghedi Air Base,,act,xlsx,,45.43111111111111,57.17111111111111,Ghedi,Italy,45°25′52.57″N 10°16′48.40″E
184,Incirlik Air Base,,act,xlsx,,37.00194444444445,35.42583333333333,Sarıçam,Turkey,37°00′07″N 035°25′33″E
185,Izmir Air Station,,act,xlsx,,38.4575,27.17027777777778,Bayraklı,Turkey,38°27′27″N 027°10′13″E
186,Kleine Brogel Air Base,,act,xlsx,,51.169444444444444,5.091111111111111,Peer,Belgium,51°10′10.5″N 005°28′19″E
187,Lajes Field,,act,xlsx,,38.76166666666666,-27.090555555555554,Lajes,Azores,38°45′42″N 027°05′26″W
188,Łask Air Base,,act,xlsx,,51.55138888888889,76.31944444444444,Mauryca,Poland,51°33′5.76″N 19°10′44.76″E
189,Morón Air Base,,act,xlsx,,37.17472222222222,-5.615833333333333,Los Molares,Spain,37°10′29″N 5°36′57″W
190,NATO Air Base Geilenkirchen,,act,xlsx,,50.96083333333333,6.0424999999999995,Geilenkirchen,Germany,50°57′39″N 6°2′33″E
191,RAF Akrotiri,,act,xlsx,,34.583333333333336,32.983333333333334,Akrotiri,Sovereign Base Areas of Akrotiri and Dhekelia,34°35′0″N 32°59′0″E
192,RAF Alconbury,,act,xlsx,,52.37083333333334,-27.003611111111113,Huntingdon,United Kingdom,52°22′15.27″N 000°13′36.94″W
193,RAF Barford St John,,act,xlsx,,52.00361111111111,-1.36,Banbury,United Kingdom,52°0′13″N 1°21′36″W
194,RAF Croughton,,act,xlsx,,51.987500000000004,-1.1861111111111111,Brackley,United Kingdom,51°59′15″N 1°11′10″W
195,RAF Fairford,,act,xlsx,,51.68222222222222,-1.7899999999999998,Fairford,United Kingdom,51°40′56″N 1°47′24″W
196,RAF Feltwell,,act,xlsx,,52.47944444444445,0.5191666666666667,Thetford,United Kingdom,52°28′46″N 0°31′9″E
197,RAF Lakenheath,,act,xlsx,,52.40833333333333,0.5566666666666668,Brandon,United Kingdom,52°24′30″N 000°33′24″E
198,RAF Menwith Hill,,act,xlsx,,54.007777777777775,-35.028055555555554,Harrogate,United Kingdom,54°0′28.35″N 1°41′22.2″W
199,RAF Mildenhall,,act,xlsx,,52.365,0.48083333333333333,Bury Saint Edmunds,United Kingdom,52°21′54″N 000°28′51″E
200,RAF Molesworth,,act,xlsx,,52.379444444444445,-0.405,Huntingdon,United Kingdom,52°22′46″N 0°24′18″W
201,RAF Welford,,act,xlsx,,51.468333333333334,-1.403611111111111,Newbury,United Kingdom,51°28′6″N 1°24′13″W
202,Ramstein Air Base,,act,xlsx,,49.443888888888885,10.126666666666667,Ramstein-Miesenbach,Germany,49°26′38.10″N 007°36′08.13″E
