OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
60,Vance Air Force Base,,36.339444444444446,-97.91722222222222,act,xlsx,,America/Chicago,2026-03-03T10:00,59.4,81,55.7,1,0.0,0.0,0.0,0.0,3,100,1009.9,964.5,18.4,219,37.8
61,Whiteman Air Force Base,,38.73027777777778,-93.54805555555556,act,xlsx,,America/Chicago,2026-03-03T10:00,44.1,98,39.3,1,0.0,0.0,0.0,0.0,3,100,1015.0,984.1,12.0,106,20.5
62,Wright-Patterson Air Force Base,,39.82305555555556,-84.04944444444445,act,xlsx,,America/New_York,2026-03-03T11:00,45.8,85,41.0,1,0.0,0.0,0.0,0.0,3,100,1020.3,990.4,10.6,204,31.3
63,Abston Air National Guard Station,,32.35611111111111,-86.34666666666666,act,xlsx,,America/Chicago,2026-03-03T10:00,63.9,81,61.8,1,0.0,0.0,0.0,0.0,3,100,1024.9,1018.8,17.7,117,31.7
64,Atlantic City Air National Guard Base,,39.44805555555556,-74.58166666666666,act,xlsx,,America/New_York,2026-03-03T11:00,40.7,94,34.8,1,0.0,0.0,0.0,0.0,3,100,1031.2,1029.3,12.6,85,25.6
65,Bangor Air National Guard Base,,44.814166666666665,-68.83083333333333,act,xlsx,,America/New_York,2026-03-03T11:00,33.0,37,22.0,1,0.0,0.0,0.0,0.0,0,2,1033.2,1025.8,21.6,195,40.3
66,Barnes Air National Guard Base,,42.16555555555556,-72.72055555555556,act,xlsx,,America/New_York,2026-03-03T11:00,27.4,62,20.9,1,0.0,0.0,0.0,0.0,3,100,1033.4,1023.2,3.3,139,18.0
67,Battle Creek Air National Guard Base,,42.30722222222222,-3.420833333333334,act,xlsx,,Europe/Madrid,2026-03-03T17:00,53.4,62,49.6,1,0.0,0.0,0.0,0.0,1,36,1016.7,898.3,10.5,68,26.3
68,Berry Field Air National Guard Base,,36.126666666666665,-86.68194444444445,act,xlsx,,America/Chicago,2026-03-03T10:00,62.9,71,58.4,1,0.0,0.0,0.0,0.0,2,56,1022.0,1001.2,21.0,185,45.4
69,Biddle Air National Guard Base,,40.19972222222222,-75.14805555555556,act,xlsx,,America/New_York,2026-03-03T11:00,33.8,96,27.5,1,0.1,0.1,0.0,0.0,51,100,1031.8,1018.8,9.6,77,28.4
