OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,daily_temperature_2m_max_7day_avg,daily_temperature_2m_min_7day_avg,daily_temperature_2m_mean_7day_avg,daily_apparent_temperature_max_7day_avg,daily_apparent_temperature_min_7day_avg,daily_precipitation_sum_7day_avg,daily_rain_sum_7day_avg,daily_snowfall_sum_7day_avg,daily_wind_speed_10m_max_7day_avg,daily_wind_gusts_10m_max_7day_avg,daily_sunshine_duration_7day_avg,daily_uv_index_max_7day_avg,daily_shortwave_radiation_sum_7day_avg,daily_precipitation_hours_7day_avg,daily_et0_fao_evapotranspiration_7day_avg,Cluster
33,Joint Base Lewis-McChord,,47.1475,-122.47944444444444,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,45.7,95,43.3,1,0.0,0.0,0.0,0.0,3,100,1017.9,1007.3,3.8,229,15.5,51.699999999999996,42.08571428571429,47.0,46.642857142857146,36.957142857142856,0.9542857142857143,0.8685714285714285,0.0,16.057142857142857,35.22857142857143,13762.194285714284,2.164285714285714,5.392857142857143,2.2857142857142856,0.9871428571428572,1
34,Little Rock Air Force Base,,34.91694444444444,-92.1463888888889,act,xlsx,,America/Chicago,2026-03-03T10:00,60.5,82,58.5,1,0.0,0.0,0.0,0.0,3,91,1018.7,1007.6,13.7,194,35.6,75.11428571428571,58.9,66.27142857142857,75.97142857142856,58.74285714285714,6.278571428571428,2.242857142857143,0.0,19.32857142857143,45.385714285714286,24521.652857142857,4.5,10.487142857142857,5.0,2.2399999999999998,2
35,Luke Air Force Base,,33.535,-112.38305555555554,act,xlsx,,America/Phoenix,2026-03-03T09:00,69.9,23,61.8,1,0.0,0.0,0.0,0.0,0,0,1012.5,974.9,15.4,53,31.3,79.21428571428571,58.214285714285715,68.18571428571428,73.48571428571428,51.5,0.0,0.0,0.0,22.928571428571427,30.599999999999998,38793.62714285714,6.128571428571428,20.43285714285714,0.0,5.611428571428571,0
36,MacDill Air Force Base,,27.849444444444444,-82.52111111111111,act,xlsx,,America/New_York,2026-03-03T11:00,74.9,75,80.2,1,0.0,0.0,0.0,0.0,1,28,1023.4,1023.0,10.5,52,21.2,81.28571428571429,65.3,72.01428571428572,85.10000000000001,66.5,0.8571428571428571,0.0,0.0,21.457142857142856,35.42857142857143,37937.287142857145,7.042857142857143,20.544285714285714,0.8571428571428571,4.2057142857142855,2
37,Malmstrom Air Force Base,,47.50472222222222,-111.18722222222225,act,xlsx,,America/Denver,2026-03-03T09:00,44.7,28,33.2,1,0.0,0.0,0.0,0.0,0,0,1017.5,895.8,21.1,240,35.6,48.699999999999996,31.942857142857143,39.371428571428574,37.642857142857146,22.985714285714288,3.2214285714285715,1.4071428571428573,1.27,32.82857142857143,53.271428571428565,26535.85714285714,3.857142857142857,11.392857142857142,3.7142857142857144,2.1142857142857143,1
38,Maxwell Air Force Base,,32.37916666666667,-86.3625,act,xlsx,,America/Chicago,2026-03-03T10:00,63.8,80,61.7,1,0.0,0.0,0.0,0.0,3,100,1024.9,1019.0,17.2,116,31.0,81.04285714285713,60.800000000000004,69.78571428571429,81.85714285714286,61.642857142857146,1.2571428571428573,0.0,0.0,15.62857142857143,32.714285714285715,30722.46857142857,6.135714285714286,15.955714285714285,2.7142857142857144,3.467142857142857,2
39,McConnell Air Force Base,,37.62305555555555,-97.26722222222222,act,xlsx,,America/Chicago,2026-03-03T10:00,51.3,86,47.7,1,0.0,0.0,0.0,0.0,3,100,1011.4,962.9,10.9,81,15.1,66.10000000000001,48.271428571428565,56.614285714285714,61.07142857142857,42.18571428571429,2.042857142857143,1.2,0.0,23.0,51.314285714285724,23457.644285714287,4.678571428571429,13.094285714285714,2.7142857142857144,2.845714285714286,1
40,Joint Base McGuire–Dix–Lakehurst,,40.01916666666666,-74.52277777777778,act,xlsx,,America/New_York,2026-03-03T11:00,35.7,95,29.8,1,0.1,0.1,0.0,0.0,51,100,1031.8,1028.1,9.4,67,30.6,57.84285714285714,39.457142857142856,48.07142857142857,55.67142857142858,34.05714285714286,2.56,2.0314285714285716,0.0,16.428571428571427,43.3,18461.87142857143,3.2142857142857144,8.064285714285715,4.714285714285714,1.3171428571428572,1
41,Minot Air Force Base,,48.41583333333333,-101.35805555555557,act,xlsx,,America/Chicago,2026-03-03T10:00,18.6,88,11.0,1,0.0,0.0,0.0,0.0,1,37,1018.6,955.2,7.2,127,7.9,41.81428571428571,21.071428571428573,31.12857142857143,32.05714285714286,10.614285714285714,0.04285714285714286,0.04285714285714286,0.0,27.32857142857143,47.614285714285714,32026.145714285714,3.5142857142857147,11.462857142857144,0.42857142857142855,1.47,1
42,Moody Air Force Base,,30.967777777777776,-83.19277777777778,act,xlsx,,America/New_York,2026-03-03T11:00,62.5,85,61.5,1,0.0,0.0,0.0,0.0,3,88,1026.5,1018.3,13.9,65,20.2,82.68571428571428,61.6,70.97142857142858,85.32857142857142,62.58571428571428,0.32857142857142857,0.0,0.0,13.985714285714286,32.785714285714285,32166.68,6.6000000000000005,18.187142857142856,0.7142857142857143,3.858571428571428,2
43,Mountain Home Air Force Base,,43.04361111111111,-115.8725,act,xlsx,,America/Boise,2026-03-03T09:00,38.1,87,33.2,1,0.0,0.0,0.0,0.0,0,0,1021.5,913.8,5.7,108,7.6,56.042857142857144,37.24285714285714,45.542857142857144,47.01428571428572,27.857142857142858,0.7857142857142857,0.7857142857142857,0.0,30.8,42.042857142857144,32619.35714285714,4.55,15.858571428571429,0.7142857142857143,2.827142857142857,0
44,Nellis Air Force Base,,36.23611111111112,-115.03416666666666,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,62.8,26,56.6,1,0.0,0.0,0.0,0.0,0,0,1017.1,952.4,6.3,66,10.4,72.02857142857142,53.68571428571429,62.4,63.08571428571429,45.07142857142857,0.0,0.0,0.0,30.685714285714287,43.214285714285715,37125.439999999995,5.985714285714286,19.80857142857143,0.0,5.715714285714286,0
45,North Auxiliary Airfield,,33.61694444444444,-81.08305555555555,act,xlsx,,America/New_York,2026-03-03T11:00,52.1,86,48.2,1,0.0,0.0,0.0,0.0,3,100,1029.6,1017.9,12.9,30,17.6,76.64285714285714,56.9,65.8,77.2,56.08571428571429,0.4714285714285715,0.0,0.0,16.085714285714285,33.48571428571429,31403.59,6.135714285714286,17.147142857142857,1.4285714285714286,3.437142857142857,2
46,Offutt Air Force Base,,41.11944444444445,-95.90861111111111,act,xlsx,,America/Chicago,2026-03-03T10:00,42.6,84,38.7,1,0.0,0.0,0.0,0.0,3,85,1015.9,978.7,4.2,149,4.3,62.357142857142854,42.55714285714286,52.385714285714286,54.94285714285714,34.55714285714286,0.9142857142857143,0.3,0.0,26.185714285714287,50.81428571428571,25441.532857142854,4.557142857142857,12.959999999999999,1.4285714285714286,2.9585714285714286,1
47,Pope Field,,35.170833333333334,-79.01444444444445,act,xlsx,,America/New_York,2026-03-03T11:00,47.9,77,44.1,1,0.0,0.0,0.0,0.0,3,99,1031.0,1023.5,6.3,24,7.9,75.25714285714285,55.84285714285714,64.55714285714285,74.42857142857143,54.128571428571426,0.12857142857142856,0.0,0.0,17.685714285714287,41.542857142857144,32203.492857142857,5.585714285714286,15.15857142857143,1.2857142857142858,3.1914285714285713,2
48,Robins Air Force Base,,32.64,-83.59166666666667,act,xlsx,,America/New_York,2026-03-03T11:00,57.1,83,54.6,1,0.0,0.0,0.0,0.0,3,100,1027.4,1017.3,11.7,81,20.5,79.51428571428572,59.642857142857146,68.7,80.94285714285715,59.942857142857136,0.6714285714285714,0.0,0.0,12.071428571428571,27.642857142857142,28291.40428571429,6.085714285714286,15.675714285714287,1.0,3.287142857142857,2
49,Rome Research Site,,43.22111111111112,-10.256666666666666,act,xlsx,,Etc/GMT+1,2026-03-03T15:00,56.1,90,54.0,1,0.0,0.0,0.0,0.0,0,0,1016.9,1016.9,11.9,14,17.6,54.957142857142856,52.51428571428572,53.82857142857143,48.84285714285714,42.199999999999996,4.3,2.5285714285714285,0.0,40.58571428571429,57.24285714285715,26632.61285714286,3.7785714285714285,11.25,6.571428571428571,2.0485714285714285,1
50,Joint Base San Antonio,,29.448888888888888,-98.44888888888887,act,xlsx,,America/Chicago,2026-03-03T10:00,72.9,65,72.2,1,0.0,0.0,0.0,0.0,3,100,1016.0,989.7,16.2,180,26.6,86.88571428571429,67.4,74.57142857142857,85.48571428571428,67.9,0.6285714285714284,0.04285714285714286,0.0,25.47142857142857,46.271428571428565,27308.70857142857,5.371428571428572,13.477142857142857,1.4285714285714286,4.027142857142858,2
51,Scott Air Force Base,,38.54527777777778,-89.83527777777778,act,xlsx,,America/Chicago,2026-03-03T10:00,42.7,95,39.9,1,0.0,0.0,0.0,0.0,3,100,1019.1,1003.0,2.3,129,14.0,66.01428571428572,49.857142857142854,58.18571428571429,64.37142857142858,45.971428571428575,6.935714285714286,5.885714285714286,0.0,23.25714285714286,46.82857142857143,23077.62142857143,4.271428571428571,10.43142857142857,4.285714285714286,2.0485714285714285,1
52,Seymour Johnson Air Force Base,,35.339444444444446,-77.96055555555556,act,xlsx,,America/New_York,2026-03-03T11:00,45.3,92,41.1,1,0.0,0.0,0.0,0.0,3,100,1031.1,1028.2,9.3,36,13.0,74.58571428571429,55.18571428571429,63.642857142857146,73.91428571428571,53.357142857142854,0.2571428571428572,0.0,0.0,19.514285714285712,43.25714285714286,34648.94285714286,5.485714285714286,15.994285714285715,2.142857142857143,3.1457142857142855,2
53,Shaw Air Force Base,,33.973055555555554,-80.47277777777778,act,xlsx,,America/New_York,2026-03-03T11:00,51.5,81,47.3,1,0.0,0.0,0.0,0.0,3,100,1030.1,1021.2,11.9,25,15.1,77.2,56.4,65.78571428571429,77.65714285714286,55.771428571428565,0.35714285714285715,0.0,0.0,15.900000000000002,34.957142857142856,33617.857142857145,6.1000000000000005,17.487142857142857,2.142857142857143,3.527142857142857,2
54,Sheppard Air Force Base,,33.98888888888889,-98.49194444444444,act,xlsx,,America/Chicago,2026-03-03T10:00,70.0,70,65.8,1,0.0,0.0,0.0,0.0,0,6,1011.6,976.9,28.3,198,48.2,75.78571428571429,55.55714285714286,65.42857142857143,72.21428571428571,50.57142857142857,2.0385714285714287,0.1142857142857143,0.0,31.942857142857143,55.42857142857143,31932.43571428571,5.228571428571429,14.874285714285715,3.2857142857142856,3.792857142857143,2
